,school_GP,school_MS,sex_F,sex_M,age,address_R,address_U,famsize_GT3,famsize_LE3,Pstatus_A,Pstatus_T,Medu,Fedu,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,passed,predicted
16,1,0,1,0,16,0,1,1,0,0,1,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,yes,0
66,1,0,0,1,15,0,1,1,0,1,0,4,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4,yes,0
211,1,0,0,1,17,0,1,0,1,0,1,4,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,1,0,1,1,1,1,5,3,5,4,5,3,13,yes,0
7,1,0,1,0,17,0,1,1,0,1,0,4,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,no,0
19,1,0,0,1,16,0,1,0,1,0,1,4,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,yes,0
301,1,0,0,1,17,0,1,0,1,0,1,4,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,1,0,0,0,1,0,1,1,1,0,4,1,1,2,2,5,0,yes,0
350,0,1,0,1,19,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,2,3,0,0,0,0,1,1,1,0,5,4,4,3,3,2,8,no,0
365,0,1,0,1,18,1,0,1,0,0,1,1,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,2,0,0,1,1,0,1,1,0,0,3,3,4,2,4,3,4,yes,0
118,1,0,0,1,17,1,0,1,0,0,1,1,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,20,no,0
321,1,0,1,0,17,0,1,1,0,0,1,2,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,1,1,0,1,4,2,2,1,1,3,12,no,0
